acc,status,balance,transferred,ms,note
abul10307,OK,650,650,2924,
abul10308,OK,800,800,2940,
abul10309,OK,600,600,2928,
abul10310,OK,1500,1500,2962,
abul10311,OK,575,575,2809,
abul10312,OK,650,650,2960,
abul10313,OK,600,600,2800,
abul10314,OK,700,700,2941,
abul10315,OK,525,525,2967,
abul10316,OK,1500,1500,2923,
abul10317,OK,575,575,2917,
abul10318,OK,700,700,2954,
abul10319,OK,575,575,2950,
abul10320,OK,650,650,3031,
abul10321,OK,800,800,3053,
abul10322,OK,1500,1500,2905,
abul10323,OK,525,525,2864,
abul10324,OK,1000,1000,3366,
abul10325,OK,1500,1500,2969,
abul10326,OK,575,575,2826,
abul10327,OK,575,575,2951,
abul10328,OK,1500,1500,2974,
abul10329,OK,525,525,2846,
abul10330,OK,600,600,3045,
abul10331,OK,575,575,2785,
abul10332,OK,1250,1250,2913,
abul10333,OK,1000,1000,2864,
abul10334,OK,1500,1500,2904,
abul10335,OK,1500,1500,2901,
abul10336,OK,1250,1250,2967,
abul10337,OK,550,550,2915,
abul10338,OK,525,525,2975,
abul10339,OK,575,575,2943,
abul10340,OK,575,575,2906,
abul10341,OK,750,750,2944,
abul10342,OK,800,800,2919,
abul10343,OK,1500,1500,2985,
abul10344,OK,650,650,2889,
abul10345,OK,650,650,2945,
abul10346,OK,1250,1250,2897,
abul10347,OK,1250,1250,2821,
abul10348,OK,750,750,2933,
abul10349,OK,600,600,2880,
abul10350,OK,800,800,2944,
abul10351,OK,1250,1250,2959,
abul10352,OK,650,650,2940,
abul10353,OK,750,750,2928,
abul10354,OK,550,550,2895,
abul10355,OK,750,750,2865,
abul10356,OK,525,525,2917,
abul10357,OK,650,650,2988,
abul10358,OK,1000,1000,2856,
abul10359,OK,650,650,2881,
abul10360,OK,800,800,2903,
abul10361,OK,600,600,2939,
abul10362,OK,575,575,2933,
abul10363,OK,750,750,2993,
abul10364,OK,750,750,2980,
abul10365,OK,550,550,2863,
abul10366,OK,550,550,2879,
abul10367,OK,800,800,2942,
abul10368,OK,800,800,2875,
abul10369,OK,800,800,2880,
abul10370,OK,575,575,2961,
abul10371,OK,575,575,2866,
abul10372,OK,650,650,2915,
abul10373,OK,550,550,2898,
abul10374,OK,575,575,2888,
abul10375,OK,1500,1500,3046,
abul10376,OK,650,650,2896,
abul10377,OK,750,750,2929,
abul10378,OK,525,525,2852,
abul10379,OK,525,525,2958,
abul10380,OK,1250,1250,2921,
abul10381,OK,600,600,2931,
abul10382,OK,510,510,2943,
abul10383,OK,550,550,2912,
abul10384,OK,800,800,2909,
abul10385,OK,510,510,2971,
abul10386,OK,1500,1500,2883,
abul10387,OK,600,600,2939,
abul10388,OK,550,550,2815,
abul10389,OK,525,525,2615,
abul10390,OK,1500,1500,2995,
abul10391,OK,1000,1000,2978,
abul10392,OK,650,650,2922,
abul10393,OK,1250,1250,2898,
abul10394,OK,575,575,3029,
abul10395,OK,1000,1000,3164,
abul10396,OK,1500,1500,2462,
abul10397,OK,700,700,2440,
abul10398,OK,800,800,2884,
abul10399,OK,1000,1000,2896,
abul10400,OK,700,700,2884,
abul10401,OK,1500,1500,2949,
abul10402,OK,1500,1500,3285,
abul10403,OK,600,600,2993,
abul10404,OK,1500,1500,3436,
abul10405,OK,550,550,2993,
abul10406,OK,525,525,2945,
abul10407,OK,1500,1500,2936,
abul10408,OK,575,575,2817,
abul10409,OK,800,800,2864,
abul10410,OK,650,650,2968,
abul10411,OK,650,650,2808,
abul10412,OK,750,750,2830,
abul10413,OK,575,575,3440,
abul10414,OK,650,650,2836,
abul10415,OK,600,600,2920,
abul10416,OK,510,510,2901,
abul10417,OK,750,750,2912,
abul10418,OK,550,550,2914,
abul10419,OK,1250,1250,3001,
abul10420,OK,1500,1500,2946,
abul10421,OK,600,600,2863,
abul10422,OK,575,575,2892,
abul10423,OK,510,510,3015,
abul10424,OK,510,510,2929,
abul10425,OK,750,750,2961,
abul10426,OK,1000,1000,2961,
abul10427,OK,1500,1500,2824,
abul10428,OK,1500,1500,2973,
abul10429,OK,510,510,2916,
abul10430,OK,510,510,3072,
abul10431,OK,525,525,2940,
abul10432,OK,525,525,2950,
abul10433,OK,1500,1500,3005,
abul10434,OK,575,575,2909,
abul10435,OK,800,800,2925,
abul10436,OK,800,800,2919,
abul10437,OK,600,600,2942,
abul10438,OK,700,700,3165,
abul10439,OK,700,700,2995,
abul10440,OK,510,510,2913,
abul10441,OK,550,550,2953,
abul10442,OK,1000,1000,2928,
abul10443,OK,510,510,2855,
abul10444,OK,1000,1000,2928,
abul10445,OK,550,550,2865,
abul10446,OK,1500,1500,2931,
abul10447,OK,1500,1500,2527,
abul10448,OK,750,750,3024,
abul10449,OK,1000,1000,2932,
abul10450,OK,700,700,2461,
abul10451,OK,600,600,2952,
abul10452,OK,800,800,2860,
abul10453,OK,800,800,2839,
abul10454,OK,1250,1250,2897,
abul10455,OK,800,800,2779,
abul10456,OK,1000,1000,2955,
abul10457,OK,525,525,3054,
abul10458,OK,1500,1500,2824,
abul10459,OK,510,510,2939,
abul10460,OK,600,600,2828,
abul10461,OK,1000,1000,3061,
abul10462,OK,750,750,2872,
abul10463,OK,510,510,3361,
abul10464,OK,650,650,2867,
abul10465,OK,525,525,3008,
abul10466,OK,650,650,2930,
abul10467,OK,650,650,3041,
abul10468,OK,525,525,2993,
abul10469,OK,575,575,2479,
abul10470,OK,575,575,2892,
abul10471,OK,750,750,2963,
abul10472,OK,800,800,2948,
abul10473,OK,750,750,2870,
abul10474,OK,650,650,3474,
abul10475,OK,600,600,2823,
abul10476,OK,800,800,2998,
abul10477,OK,750,750,2944,
abul10478,OK,510,510,2935,
abul10479,OK,575,575,2861,
abul10480,OK,650,650,2935,
abul10481,OK,510,510,2979,
abul10482,OK,800,800,2936,
abul10483,OK,700,700,2906,
abul10484,OK,800,800,2868,
abul10485,OK,800,800,2922,
abul10486,OK,1000,1000,2878,
abul10487,OK,1000,1000,2888,
abul10488,OK,700,700,2845,
abul10489,OK,650,650,2963,
abul10490,OK,650,650,3045,
abul10491,OK,575,575,2814,
abul10492,OK,700,700,2875,
abul10493,OK,510,510,2871,
abul10494,OK,575,575,2904,
abul10495,OK,1500,1500,3097,
abul10496,OK,750,750,2986,
abul10497,OK,750,750,2896,
abul10498,OK,510,510,2909,
abul10499,OK,700,700,2952,
abul10500,OK,600,600,2931,
abul10501,OK,575,575,2982,
abul10502,OK,550,550,2969,
abul10503,OK,550,550,3070,
abul10504,OK,575,575,2928,
abul10505,OK,650,650,2897,
abul10506,OK,800,800,2897,
abul10507,OK,550,550,2972,
abul10508,OK,700,700,3005,
abul10509,OK,575,575,2994,
abul10510,OK,800,800,3020,
abul10511,OK,1000,1000,2872,
abul10512,OK,750,750,2975,
abul10513,OK,750,750,2988,
abul10514,OK,1250,1250,2898,
abul10515,OK,575,575,2937,
abul10516,OK,700,700,3025,
abul10517,OK,510,510,2906,
abul10518,OK,600,600,2984,
abul10519,OK,800,800,3049,
abul10520,OK,550,550,2913,
abul10521,OK,510,510,2803,
abul10522,OK,525,525,2812,
abul10523,OK,510,510,2959,
abul10524,OK,1000,1000,2975,
abul10525,OK,550,550,2921,
abul10526,OK,750,750,2887,
abul10527,OK,800,800,2905,
abul10528,OK,750,750,2891,
abul10529,OK,575,575,2958,
abul10530,OK,510,510,2794,
abul10531,OK,525,525,2910,
abul10532,OK,525,525,3011,
abul10533,OK,800,800,2939,
abul10534,OK,575,575,2968,
abul10535,OK,750,750,2813,
abul10536,OK,550,550,2861,
abul10537,OK,750,750,3011,
abul10538,OK,525,525,2881,
abul10539,OK,650,650,2972,
abul10540,OK,525,525,3000,
abul10541,OK,575,575,3246,
abul10542,OK,750,750,3020,
abul10543,OK,1250,1250,2876,
abul10544,OK,700,700,2957,
abul10545,OK,525,525,3013,
abul10546,OK,750,750,2889,
abul10547,OK,1500,1500,2920,
abul10548,OK,550,550,2948,
abul10549,OK,525,525,2986,
abul10550,OK,700,700,2928,
abul10551,OK,750,750,2989,
abul10552,OK,550,550,2889,
abul10553,OK,525,525,2884,
abul10554,OK,700,700,2879,
abul10556,OK,800,800,2905,
abul10557,OK,800,800,2952,
abul10558,OK,1000,1000,2864,
abul10559,OK,575,575,3069,
abul10560,OK,800,800,2966,
abul10561,OK,510,510,2999,
abul10562,OK,750,750,2906,
abul10563,OK,700,700,2989,
abul10564,OK,600,600,2819,
abul10565,OK,600,600,2920,
abul10566,OK,525,525,2916,
abul10567,OK,1250,1250,2918,
abul10568,OK,550,550,2845,
abul10569,OK,1500,1500,2499,
abul10571,OK,1000,1000,2838,
abul10572,OK,550,550,2941,
abul10573,OK,525,525,2930,
abul10574,OK,700,700,2973,
abul10575,OK,1250,1250,2997,
abul10576,OK,650,650,2850,
abul10577,OK,1500,1500,2862,
abul10578,OK,750,750,2895,
abul10579,OK,650,650,2887,
abul10580,OK,575,575,2980,
