acc,status,remain,reward,prize,ms,note
nguyen1038,SPUN,1,100,100 xu,3880,
nguyen1039,SPUN,1,500,500 xu,4487,
nguyen104,SPUN,1,10,10 xu,3587,
nguyen1040,SPUN,1,200,200 xu,3838,
nguyen1041,SPUN,1,75,75 xu,4137,
nguyen1042,SPUN,1,75,75 xu,4477,
nguyen1043,SPUN,1,150,150 xu,4501,
nguyen1044,SPUN,1,50,50 xu,4479,
nguyen1045,SPUN,1,10,10 xu,4296,
nguyen1046,SPUN,1,150,150 xu,4485,
nguyen1047,SPUN,1,100,100 xu,4426,
nguyen1048,SPUN,1,50,50 xu,4548,
nguyen1049,SPUN,1,10,10 xu,4335,
nguyen105,SPUN,1,75,75 xu,3507,
nguyen1050,SPUN,1,1000,1000 xu,4472,
nguyen1051,SPUN,1,250,250 xu,4488,
nguyen1052,SPUN,1,750,750 xu,4323,
nguyen1053,SPUN,1,10,10 xu,4552,
nguyen1054,SPUN,1,50,50 xu,4459,
nguyen1055,SPUN,1,25,25 xu,4411,
nguyen1056,SPUN,1,250,250 xu,4387,
nguyen1057,SPUN,1,500,500 xu,4507,
nguyen1058,SPUN,1,300,300 xu,4620,
nguyen1059,SPUN,1,25,25 xu,4373,
nguyen106,SPUN,1,75,75 xu,3628,
nguyen1060,SPUN,1,75,75 xu,4429,
nguyen1061,SPUN,1,10,10 xu,3576,
nguyen1062,SPUN,1,100,100 xu,4439,
nguyen1063,SPUN,1,750,750 xu,3577,
nguyen1064,SPUN,1,750,750 xu,4362,
nguyen1065,SPUN,1,1000,1000 xu,3632,
nguyen1066,SPUN,1,75,75 xu,3512,
nguyen1067,SPUN,1,250,250 xu,3578,
nguyen1068,SPUN,1,25,25 xu,3666,
nguyen1069,SPUN,1,75,75 xu,3620,
nguyen107,SPUN,1,50,50 xu,3541,
nguyen1070,SPUN,1,50,50 xu,3571,
nguyen1071,SPUN,1,750,750 xu,3587,
nguyen1072,SPUN,1,200,200 xu,3636,
nguyen1073,SPUN,1,100,100 xu,3581,
nguyen1074,SPUN,1,75,75 xu,3515,
nguyen1075,SPUN,1,100,100 xu,3694,
nguyen1076,SPUN,1,25,25 xu,3590,
nguyen1077,SPUN,1,250,250 xu,3873,
nguyen1078,SPUN,1,100,100 xu,3626,
nguyen1079,SPUN,1,250,250 xu,3909,
nguyen108,SPUN,1,150,150 xu,3585,
nguyen1080,SPUN,1,750,750 xu,3728,
nguyen1081,SPUN,1,50,50 xu,3788,
nguyen1082,SPUN,1,500,500 xu,3958,
nguyen1083,SPUN,1,10,10 xu,3719,
nguyen1084,SPUN,1,250,250 xu,3869,
nguyen1085,SPUN,1,200,200 xu,3894,
nguyen1086,SPUN,1,150,150 xu,3823,
nguyen1087,SPUN,1,250,250 xu,3746,
nguyen1088,SPUN,1,75,75 xu,3711,
nguyen1089,SPUN,1,10,10 xu,3707,
nguyen109,SPUN,1,250,250 xu,3599,
nguyen1090,SPUN,1,100,100 xu,3864,
nguyen1091,SPUN,1,1000,1000 xu,3607,
nguyen1092,SPUN,1,750,750 xu,3463,
nguyen1093,SPUN,1,750,750 xu,3526,
nguyen1094,SPUN,1,500,500 xu,3602,
nguyen1095,SPUN,1,10,10 xu,3850,
nguyen1096,SPUN,1,750,750 xu,3575,
nguyen1097,SPUN,1,100,100 xu,3369,
nguyen1098,SPUN,1,250,250 xu,3575,
nguyen1099,SPUN,1,1000,1000 xu,3518,
nguyen110,SPUN,1,75,75 xu,3451,
nguyen1100,SPUN,1,50,50 xu,3477,
nguyen1101,SPUN,1,100,100 xu,3527,
nguyen1102,SPUN,1,75,75 xu,3568,
nguyen1103,SPUN,1,750,750 xu,3516,
nguyen1104,SPUN,1,25,25 xu,3522,
nguyen1105,SPUN,1,500,500 xu,3512,
nguyen1106,SPUN,1,500,500 xu,3381,
nguyen1107,SPUN,1,300,300 xu,3549,
nguyen1108,SPUN,1,25,25 xu,3549,
nguyen1109,SPUN,1,300,300 xu,3478,
nguyen111,SPUN,1,750,750 xu,3517,
nguyen1110,SPUN,1,200,200 xu,3443,
nguyen1111,SPUN,1,200,200 xu,3575,
nguyen1112,SPUN,1,1000,1000 xu,3585,
nguyen1113,SPUN,1,300,300 xu,3451,
nguyen1114,SPUN,1,1000,1000 xu,3572,
nguyen1115,SPUN,1,150,150 xu,3548,
nguyen1116,SPUN,1,300,300 xu,3530,
nguyen1117,SPUN,1,100,100 xu,3638,
nguyen1118,SPUN,1,200,200 xu,3530,
nguyen1119,SPUN,1,1000,1000 xu,3724,
nguyen112,SPUN,1,1000,1000 xu,3527,
nguyen1120,SPUN,1,50,50 xu,3537,
